,City,Lat,Lng,Temp F,Max Temp F,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.42,19.23,59.0,59.0,80,14,1.01,ZA,1596062209
1,mar del plata,-38.0,-57.56,46.76,48.99,87,0,4.7,AR,1596062454
2,saint-philippe,-21.36,55.77,61.09,66.2,82,7,3.36,RE,1596062468
3,lebu,-37.62,-73.65,45.18,45.18,71,100,2.19,CL,1596062207
4,chokurdakh,70.63,147.92,45.43,45.43,63,75,9.55,RU,1596062165
5,alyangula,-13.85,136.42,51.8,51.8,93,0,16.89,AU,1596062529
6,naze,28.37,129.48,83.32,84.2,89,20,6.93,JP,1596062921
7,leningradskiy,69.38,178.42,43.41,43.41,70,15,13.09,RU,1596062515
8,uaua,-9.84,-39.48,68.72,68.72,80,25,12.19,BR,1596062820
9,usman,52.05,39.73,75.2,75.2,38,70,6.71,RU,1596062922
10,el bagre,7.59,-74.81,80.56,80.56,92,55,2.1,CO,1596062922
11,san patricio,19.22,-104.7,85.46,85.46,64,82,5.68,MX,1596062495
12,mahebourg,-20.41,57.7,71.6,71.6,78,40,11.41,MU,1596062474
13,gari,59.43,62.35,54.72,54.72,96,100,8.12,RU,1596062923
14,kapaa,22.08,-159.32,81.03,82.4,69,20,18.34,US,1596062453
15,ewa beach,21.32,-158.01,84.4,87.8,43,20,8.05,US,1596062917
16,urrao,6.32,-76.13,74.19,80.6,42,20,6.93,CO,1596062924
17,pevek,69.7,170.31,37.15,37.15,93,100,3.87,RU,1596062499
18,nanortalik,60.14,-45.24,46.71,46.71,90,57,7.76,GL,1596062207
19,atuona,-9.8,-139.03,78.98,78.98,75,6,20.54,PF,1596062174
20,methoni,36.82,21.7,79.23,82.99,44,0,4.7,GR,1596062925
21,avarua,-21.21,-159.78,71.6,71.6,73,42,8.05,CK,1596062471
22,yulara,-25.24,130.99,44.6,44.6,42,0,10.29,AU,1596062500
23,vaini,-21.2,-175.2,69.8,69.8,83,20,16.11,TO,1596062457
24,khatanga,71.97,102.5,59.85,59.85,60,100,12.71,RU,1596062476
25,rikitea,-23.12,-134.97,73.22,73.22,84,69,14.47,PF,1596062466
26,juba,4.85,31.58,69.42,69.42,91,4,2.77,SS,1596062926
27,kahului,20.89,-156.47,79.95,86.0,45,40,23.04,US,1596062926
28,cherskiy,68.75,161.3,48.72,48.72,60,14,16.26,RU,1596062485
29,butaritari,3.07,172.79,82.98,82.98,74,29,18.16,KI,1596062473
30,puerto ayora,-0.74,-90.35,71.15,75.2,64,20,21.92,EC,1596062171
31,caravelas,-17.71,-39.25,69.04,69.04,75,0,3.38,BR,1596062927
32,itaguai,-22.85,-43.78,71.06,73.0,73,90,5.82,BR,1596062655
33,castro,-24.79,-50.01,53.74,53.74,97,100,7.7,BR,1596062361
34,nikolskoye,59.7,30.79,57.65,59.0,77,1,6.71,RU,1596062459
35,pisco,-13.7,-76.22,63.79,64.4,68,7,6.93,PE,1596062200
36,zhob,31.34,69.45,83.35,83.35,43,4,5.17,PK,1596062700
37,dikson,73.51,80.55,49.59,49.59,75,61,8.01,RU,1596062454
38,mathbaria,22.29,89.96,80.91,80.91,89,100,4.74,BD,1596062929
39,winslow,35.02,-110.7,102.2,102.2,9,1,11.41,US,1596062930
40,lavrentiya,65.58,-171.0,49.23,49.23,83,94,11.3,RU,1596062483
41,punta arenas,-53.15,-70.92,39.09,39.2,80,99,13.87,CL,1596062453
42,severinia,-20.81,-48.8,80.6,80.6,24,68,6.93,BR,1596062931
43,albany,42.6,-73.97,75.34,80.01,65,19,4.76,US,1596062454
44,hearst,49.68,-83.67,63.91,63.91,73,78,7.31,CA,1596062452
45,bela vista de goias,-16.97,-48.95,78.8,78.8,36,14,2.24,BR,1596062932
46,yellowknife,62.46,-114.35,72.64,73.4,46,75,8.05,CA,1596062479
47,tuktoyaktuk,69.45,-133.04,53.6,53.6,76,75,6.93,CA,1596062465
48,cabo san lucas,22.89,-109.91,84.27,89.6,57,40,18.34,MX,1596062679
49,bredasdorp,-34.53,20.04,57.2,57.2,76,2,10.29,ZA,1596062207
50,port macquarie,-31.43,152.92,61.0,61.0,77,15,3.0,AU,1596062823
51,barrow,71.29,-156.79,46.4,46.4,75,90,21.92,US,1596062475
52,lerwick,60.15,-1.15,51.8,51.8,93,97,18.34,GB,1596062934
53,kalengwa,-13.47,25.0,55.31,55.31,48,0,5.17,ZM,1596062934
54,tiksi,71.69,128.87,40.01,40.01,86,100,8.12,RU,1596062225
55,cockburn town,21.46,-71.14,86.0,86.0,70,20,18.34,TC,1596062244
56,cape town,-33.93,18.42,55.0,57.0,93,75,6.93,ZA,1596062313
57,belmonte,-15.86,-38.88,73.4,73.4,69,20,6.93,BR,1596062935
58,georgetown,5.41,100.34,79.25,80.6,88,20,2.24,MY,1596062168
59,botou,38.07,116.57,80.37,80.37,70,31,7.31,CN,1596062728
60,neepawa,50.23,-99.47,82.4,82.4,42,75,6.93,CA,1596062661
61,saskylakh,71.92,114.08,54.12,54.12,66,0,4.59,RU,1596062460
62,yanam,16.73,82.22,79.92,79.92,89,100,4.12,IN,1596062515
63,zhigansk,66.77,123.37,50.95,50.95,62,0,20.31,RU,1596062541
64,lakes entrance,-37.88,147.98,50.0,50.0,88,26,1.01,AU,1596062936
65,rehoboth,-23.32,17.08,47.41,47.41,53,0,2.68,NA,1596062937
66,chulym,55.1,80.96,50.61,50.61,97,68,8.93,RU,1596062938
67,road town,18.42,-64.62,79.66,80.01,97,99,10.0,VG,1596062938
68,rognedino,53.8,33.56,61.18,61.18,96,98,8.12,RU,1596062938
69,isangel,-19.55,169.27,77.72,77.72,71,60,15.35,VU,1596062939
70,jamestown,42.1,-79.24,73.99,75.99,78,40,9.17,US,1596062185
71,polunochnoye,60.87,60.42,53.94,53.94,100,100,0.96,RU,1596062939
72,mandan,46.83,-100.89,84.96,87.8,48,1,8.05,US,1596062524
73,andilamena,-17.02,48.58,60.31,60.31,93,78,3.69,MG,1596062940
74,ushuaia,-54.8,-68.3,39.2,39.2,94,40,32.21,AR,1596062430
75,souillac,-20.52,57.52,71.6,71.6,78,40,11.41,MU,1596062531
76,mangai,-4.05,19.53,75.13,75.13,53,3,0.72,CD,1596062940
77,teguldet,57.31,88.17,57.47,57.47,98,100,4.25,RU,1596062513
78,kuito,-12.38,16.93,54.59,54.59,39,43,4.05,AO,1596062941
79,khuzdar,27.74,66.64,81.97,81.97,56,72,3.89,PK,1596062941
80,aswan,24.09,32.91,96.31,96.31,24,37,7.7,EG,1596062941
81,kosonsoy,41.26,71.55,75.2,75.2,44,0,4.7,UZ,1596062942
82,viedma,-40.81,-63.0,39.99,39.99,71,81,9.53,AR,1596062942
83,san cristobal,7.77,-72.22,89.6,89.6,52,40,13.87,VE,1596062942
84,busselton,-33.65,115.33,43.43,46.0,95,82,6.58,AU,1596062453
85,ixtapa,20.7,-105.2,86.0,86.0,70,90,8.05,MX,1596062943
86,soe,-9.86,124.28,60.87,60.87,82,36,4.68,ID,1596062943
87,guilin,25.28,110.29,77.0,77.0,94,87,1.5,CN,1596062792
88,luderitz,-26.65,15.16,55.4,55.4,71,0,9.17,NA,1596062193
89,faanui,-16.48,-151.75,79.2,79.2,78,100,18.12,PF,1596062509
90,ahipara,-35.17,173.17,59.11,59.11,76,100,12.57,NZ,1596062944
91,severo-kurilsk,50.68,156.12,55.76,55.76,81,98,13.4,RU,1596062286
92,olafsvik,64.89,-23.71,51.19,51.19,82,86,4.97,IS,1596062461
93,akdepe,42.06,59.38,80.6,80.6,30,43,13.87,TM,1596062944
94,ketchikan,55.34,-131.65,69.1,69.8,56,1,16.11,US,1596062514
